Params:, Clients 90, Messages 270000, CompPeriod 250000, CompChunk 10
, Avg(us), Max(us), Min(us), Stdev(us), Stdev(%), 50%(us), 90%(us), 95%(us), 99%(us)
resp (us), 11647.6, 6.26388e+07, 15.943, 518375, 4450.49, 211.882, 3245.41, 7428.32, 103395
send (raw us), 10582.5, 5.87287e+07, 43.078, 412583, 3898.75, 263.002, 3401.15, 7687.67, 104697
send (us/byte), 1.28522, 7132.47, 0.00523172, 50.1073, 3898.75, 0.031941, 0.413061, 0.933649, 12.7152
sort (raw us), 11794.2, 6.264e+07, 48.739, 568942, 4823.93, 848.651, 3787.49, 7854.81, 103838
sort (us/msg), 18.8448, 59558.2, 0.39412, 645.957, 3427.77, 1.44851, 7.49224, 17.2058, 176.996
print (raw us), 24854.6, 6.17131e+07, 50.754, 588624, 2368.27, 14639.8, 17584.3, 21709.3, 120881
print (us/byte), 3.01853, 7494.91, 0.00616395, 71.487, 2368.27, 1.77798, 2.13558, 2.63654, 14.6808
comp (raw), 9809.2, 1.64123e+07, 4723.49, 112306, 1144.9, 5298, 6075.32, 11807.5, 92456.2
comp (us/byte), 0.119741, 200.345, 0.0576598, 1.37092, 1144.9, 0.0646728, 0.0741617, 0.144134, 1.12862

Params:, Clients 120, Messages 270000, CompPeriod 250000, CompChunk 10
, Avg(us), Max(us), Min(us), Stdev(us), Stdev(%), 50%(us), 90%(us), 95%(us), 99%(us)
resp (us), 15161.6, 6.06842e+07, 15.228, 613093, 4043.74, 213.807, 3299.32, 8337.93, 119145
send (raw us), 15804.3, 6.06843e+07, 41.61, 580307, 3671.82, 265.698, 3516.63, 8677.38, 120102
send (us/byte), 1.9194, 7369.96, 0.00505344, 70.4769, 3671.82, 0.0322684, 0.427086, 1.05385, 14.5861
sort (raw us), 15145.9, 5.91458e+07, 49.375, 642941, 4244.98, 680.718, 3548.95, 8454.62, 111125
sort (us/msg), 32.9769, 76811, 0.382865, 1035.54, 3140.2, 1.56587, 9.69371, 25.1178, 242.136
print (raw us), 25947.9, 5.94445e+07, 49, 628151, 2420.82, 14636.2, 17594.1, 22424.4, 140447
print (us/byte), 3.15131, 7219.39, 0.00595094, 76.2875, 2420.82, 1.77753, 2.13676, 2.72339, 17.057
comp (raw), 9389.09, 1.47117e+07, 4745.18, 72131.9, 768.252, 5314.44, 6120.57, 11824, 99251.8
comp (us/byte), 0.114613, 179.586, 0.0579245, 0.880516, 768.252, 0.0648736, 0.074714, 0.144336, 1.21157

Params:, Clients 150, Messages 270000, CompPeriod 250000, CompChunk 10
, Avg(us), Max(us), Min(us), Stdev(us), Stdev(%), 50%(us), 90%(us), 95%(us), 99%(us)
resp (us), 16789.7, 6.0867e+07, 16.055, 670987, 3996.41, 192.693, 3117.96, 8203.77, 123929
send (raw us), 18647.8, 6.08671e+07, 44.842, 719941, 3860.73, 245.5, 3295.24, 8667.55, 127864
send (us/byte), 2.26473, 7392.16, 0.00544596, 87.4352, 3860.73, 0.0298154, 0.4002, 1.05265, 15.5288
sort (raw us), 19088.2, 5.4564e+07, 49.698, 722237, 3783.68, 579.933, 3487.1, 8666.34, 122026
sort (us/msg), 49.5594, 90939.9, 0.400104, 1481.43, 2989.21, 1.72495, 11.8814, 33.3452, 347.808
print (raw us), 25225.4, 5.9846e+07, 51.336, 600516, 2380.6, 14545.8, 17327.6, 21981.3, 140530
print (us/byte), 3.06356, 7268.16, 0.00623464, 72.9312, 2380.6, 1.76656, 2.1044, 2.66958, 17.067
comp (raw), 10612.2, 4.88918e+07, 4743.69, 222182, 2093.65, 5318.59, 6051.09, 11262.4, 101555
comp (us/byte), 0.129543, 596.823, 0.0579063, 2.71219, 2093.65, 0.0649242, 0.0738658, 0.137481, 1.23968

Params:, Clients 180, Messages 270000, CompPeriod 250000, CompChunk 10
, Avg(us), Max(us), Min(us), Stdev(us), Stdev(%), 50%(us), 90%(us), 95%(us), 99%(us)
resp (us), 18473.3, 6.0715e+07, 15.761, 721416, 3905.19, 170.194, 3062.02, 7898.35, 113281
send (raw us), 20002.8, 6.0707e+07, 44.174, 749253, 3745.74, 218.312, 3259.17, 8365.71, 115367
send (us/byte), 2.42929, 7372.72, 0.00536483, 90.995, 3745.74, 0.0265135, 0.395819, 1.016, 14.011
sort (raw us), 16776.4, 6.0415e+07, 48.107, 676149, 4030.35, 492.958, 3355.88, 8096.69, 112552
sort (us/msg), 49.8392, 106178, 0.391929, 1536.32, 3082.56, 1.81251, 12.9006, 31.745, 339.569
print (raw us), 29091.9, 6.07295e+07, 46.131, 735776, 2529.15, 14465.2, 17105.9, 21610.8, 137297
print (us/byte), 3.53314, 7375.45, 0.0056025, 89.3582, 2529.15, 1.75676, 2.07747, 2.62458, 16.6744
comp (raw), 10723.7, 4.64319e+07, 4736.84, 282671, 2635.95, 5297.89, 6018.69, 10336.1, 90805.4
comp (us/byte), 0.130905, 566.796, 0.0578227, 3.45058, 2635.95, 0.0646714, 0.0734704, 0.126173, 1.10846

