Params:, L 500, rho 2, util 0.9, Clients 90, Messages 270000, CompPeriod 250000, CompChunk 10
, Avg(us), Max(us), Min(us), Stdev(us), Stdev(%), 50%(us), 90%(us), 95%(us), 99%(us)
resp (us), 249.149, 195427, 9.136, 2753.75, 1105.26, 28.881, 463.95, 1000.13, 2785.8
send (raw us), 809.612, 195217, 37.131, 2905.51, 358.877, 323.384, 1952.12, 2638.01, 4967.23
send (us/byte), 0.0983255, 23.7087, 0.00450947, 0.352868, 358.877, 0.0392742, 0.23708, 0.320381, 0.603258
sort (raw us), 4959.01, 797076, 37.053, 10223.8, 206.167, 2262.54, 11644.8, 18268.5, 38759.4
sort (us/msg), 11.6499, 2592.32, 0.366378, 42.1225, 361.57, 4.07122, 25.3594, 42.0173, 105.626
print (raw us), 7749.07, 2.88274e+06, 39.419, 36418.3, 469.971, 915.765, 18096.5, 23181.8, 132580
print (us/byte), 0.941106, 350.103, 0.00478735, 4.42292, 469.97, 0.111218, 2.19778, 2.81537, 16.1015
comp (raw), 43478.2, 2.55514e+06, 5021.57, 66095.7, 152.021, 25581.9, 100227, 134876, 219591
comp (us/byte), 0.530739, 31.1906, 0.0612984, 0.806833, 152.021, 0.312279, 1.22347, 1.64643, 2.68056

Params:, L 500, rho 2, util 0.9, Clients 120, Messages 270000, CompPeriod 250000, CompChunk 10
, Avg(us), Max(us), Min(us), Stdev(us), Stdev(%), 50%(us), 90%(us), 95%(us), 99%(us)
resp (us), 373.815, 160960, 9.407, 3112.86, 832.727, 32.955, 776.07, 1573.68, 4458.19
send (raw us), 1019.38, 163122, 37.178, 3521.09, 345.416, 384.683, 2359.87, 3315.72, 7465.63
send (us/byte), 0.123801, 19.8108, 0.00451518, 0.427628, 345.415, 0.0467188, 0.286601, 0.402686, 0.906683
sort (raw us), 5553.18, 1.35298e+06, 40.592, 15720.3, 283.087, 2272.12, 13390.6, 21062.3, 43438.8
sort (us/msg), 16.8293, 3020.57, 0.398043, 63.9664, 380.089, 5.5394, 36.5953, 61.4283, 157.324
print (raw us), 9335, 3.92992e+06, 40.962, 46879.4, 502.189, 1071.31, 18088.4, 24549.3, 180127
print (us/byte), 1.13371, 477.279, 0.00497474, 5.69339, 502.189, 0.130108, 2.1968, 2.98146, 21.876
comp (raw), 46380.6, 4.07553e+06, 4970.72, 91048.3, 196.307, 25447.8, 104569, 135389, 326926
comp (us/byte), 0.566169, 49.7501, 0.0606777, 1.11143, 196.307, 0.310642, 1.27648, 1.6527, 3.9908

Params:, L 500, rho 2, util 0.9, Clients 150, Messages 270000, CompPeriod 250000, CompChunk 10
, Avg(us), Max(us), Min(us), Stdev(us), Stdev(%), 50%(us), 90%(us), 95%(us), 99%(us)
resp (us), 459.093, 172721, 9.218, 3715.17, 809.24, 35.886, 943.567, 1864.98, 5432.52
send (raw us), 1246.55, 184348, 37.175, 4608.64, 369.711, 432.165, 2674.08, 4065.86, 10797.8
send (us/byte), 0.151391, 22.3887, 0.00451482, 0.559709, 369.71, 0.0524854, 0.324761, 0.493789, 1.31137
sort (raw us), 5729.08, 2.49274e+06, 35.862, 18592.2, 324.524, 2274.76, 14614.6, 22112.6, 44538.3
sort (us/msg), 21.2827, 18485.3, 0.37042, 107.539, 505.289, 7.06573, 47.1356, 75.7927, 186.764
print (raw us), 10135.2, 3.10501e+06, 39.709, 54170.8, 534.48, 1116.67, 18213.3, 25205.1, 182785
print (us/byte), 1.2309, 377.097, 0.00482256, 6.57891, 534.48, 0.135617, 2.21197, 3.0611, 22.1988
comp (raw), 47588.2, 3.1579e+06, 4977.59, 97258.9, 204.376, 22866.3, 105245, 137320, 363768
comp (us/byte), 0.580911, 38.5485, 0.0607616, 1.18724, 204.376, 0.27913, 1.28473, 1.67627, 4.44053

Params:, L 500, rho 2, util 0.9, Clients 180, Messages 270000, CompPeriod 250000, CompChunk 10
, Avg(us), Max(us), Min(us), Stdev(us), Stdev(%), 50%(us), 90%(us), 95%(us), 99%(us)
resp (us), 537.497, 75814.6, 9.87, 2227.47, 414.415, 39.815, 1191.51, 2459.62, 7714.36
send (raw us), 1347.89, 148089, 37.765, 3245.9, 240.813, 469.591, 2995.06, 4843.06, 13271.4
send (us/byte), 0.163699, 17.9851, 0.00458647, 0.394207, 240.813, 0.0570307, 0.363743, 0.588179, 1.61179
sort (raw us), 6078.04, 2.63796e+06, 37.416, 18625.9, 306.446, 2379.87, 15523.1, 24081.1, 48279.2
sort (us/msg), 31.0325, 8493.56, 0.362271, 114.252, 368.17, 9.23015, 65.8104, 115.48, 314.987
print (raw us), 11790.8, 3.60186e+06, 36.655, 61770.1, 523.886, 1231.01, 18755, 30688, 214284
print (us/byte), 1.43196, 437.438, 0.00445166, 7.50184, 523.886, 0.149503, 2.27775, 3.72698, 26.0243
comp (raw), 41773.8, 3.60974e+06, 4984.38, 85999.2, 205.869, 22459.4, 90153.1, 120371, 244382
comp (us/byte), 0.509934, 44.0642, 0.0608444, 1.04979, 205.869, 0.274163, 1.1005, 1.46938, 2.98318

